Sighted date,Sighted Date (Date Format),Reported date,Reported Date (Date Format),Location,State in USA,US State,Country,Region,Shape,Duration,Duration Extract Num,Duration in Seconds,Visibility Duration,Description
20100704,7/4/2010,20100706,7/6/2010, Lodi, CA,CA,USA,West, other,3 hrs,3,10800,very long,"Not UFO, but lightning can appear identical to sightings and persist for unnaturally seeming long times.Have often observed UFO like orange to dark red flashes and glows as the warm summer ocean moisture ladened air stacks up to the north and east of us creating embedded glows.  The storms can be so intense they seem glow relentlessly.  Occasionally, patterns of glow would &quot;ignite&quot; and travel 15-30 degrees across ones field of vision well above the horizon appearing to be objects in motion and rapidly changing direction.  We were mystified until we learned the glows were cause by energetic lightening storms taking place approaching the Sierra Mountain Range.  The storms embed in clouds that can be invisible as they blend into the dust laden air.  The lightening create lights and shapes that move and persist for many seconds at a time ... and when you witness it, it seems like minutes.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))}"
20100725,7/25/2010,20100726,7/26/2010, Lahaina, HI,HI,USA,West, chevron,15-30 minutes,15,900,long,"witnessed three boomerang shaped objects, red/orange in color, first huddled together, than slowly separate and fade while maintaining a triangle formation as a commercial aircraft approached}"
20100702,7/2/2010,20100715,7/15/2010, Oak Creek, WI,WI,USA,Midwest, fireball,5 minutes,5,300,short,"Two fireballs flying in tandem.Two bright red balls flying in tandem were sighted ~ 20 south of Milwaukee, WI (Racine).  They flew to the north along the shore of Lake Michigan.  As they neared the Milwaukee Airport, the two craft went directly east at a very high rate of speed and disappeared over the lake.There was no engine noise.  There were no airplane or helicopter lights.  They were flying at a few thousand feet.  We live 9 miles directly south of the Milwaukee airport and see hundreds of planes per day and night.  These were not planes or helicopters.  They should have been detected by MKE radar.Witnesses included an mechanical engineer, a police officer (ret.), a general manager of a chemical plant and a sales manager of a software company and 4 children ages 7 to 11.}"
20100712,7/12/2010,20100711,7/11/2010, Portland, ME,ME,USA,Northeast, light,20 seconds,20,20,very short,"Venus sized lightit looked like a star. then started moving . i thought it was a plane perhaps turning, but then it took off fast until it faded out and disapeared , it crossed half of the entire sky in 20 seconds progressivly getting faster . it was about the size of venus in the sky.}"
20100704,7/4/2010,20100706,7/6/2010, Hutchinson, KS,KS,USA,Midwest, fireball,Appx 5-8 Minutes,#VALUE!,#VALUE!,#VALUE!,"Brilliant Red Object At Level Altitude Sighted Over Hutchinson, KS at 9:10PM CST On July 4th, 2010.30-second video captured by Canon PowerShot A95 still camera in motion video mode.  Object was sighted for 1-2 minutes &amp; was highly brilliant prior to getting camera trained on it.  We were facing northeast at the SW corner of 6th &amp; Jackson.  In my view it appeared to be on a curved trajectory (like a sewing needle, beginning at the blunt end on to the point) heading towards us then vearing off due-north as it faded into the distance.  It appeared to be at a level altitude the entire time. http://www.youtube.com/watch?v=CnZtAnjFIos  Video was acquired late &amp; not on a true motion video camera, it is visible as simply a red dot.}"
20100701,7/1/2010,20100707,7/7/2010, Lowell, MA,MA,USA,Northeast, fireball,5 mins,5,300,short,"6 fireball lights seen overheadWe were sitting on the front steps looking to the SSE sky, it was a partially cloudy/clear night, when we (me, my daughter and a friend) first noticed one bright fireball shaped light in the sky followed quickly by 2 additional objects flying at the same speed and spaced evenly apart.   We continued watching more continued to follow 6 in total.  The objects seem to switch directions, heading north and formed a straight line.   We were beginning to lose sight of them behind other houses so I ran to the back yard while my friend and daughter stayed on the street watching them.  Each one just started to disappear but the last one looked like it switched direction again and began fading as it headed East again.}"
20100704,7/4/2010,20100706,7/6/2010, Kingston, WA,WA,USA,West, light,2 minutes,2,120,short,"We were departing the ferry when I looked off to the south sky and noticed a red very slow pulsating light approx. 3000 feet up.  I told my wife ( former flight attendant ) who was equally surprised at how odd this pulsating light was.  As we walked we both noticed another couple that was looking at it about 20 feet ahead of us.  They were both very excited stating that they had never seen anything like it - we all just stood there and stared at it as it slowly ascended - straight up - not across the horizon, it became smaller and smaller in size and eventually became just a pin-point tiny little red pulsating light and then gone.  We all looked at each other amazed and all agreed that we had seen something unusual - this was a  really strange event, one that my wife and I are still talking about today.}"
20100731,7/31/2010,20100803,8/3/2010, Stanmore,INT,INT,UK,#N/A, light,Two minutes,#VALUE!,#VALUE!,#VALUE!,"Low flying orange spherical UFO / filmed and revealed to be displaying distinct illuminationAt 23:05 hours on the evening of August 31st, 2010, I happened to look towards the southeast from the upper floor of my home and noticed a fast moving brilliant and steady orange colored spherical light source.  The source was moving wards the north-northeast in a smooth steady motion, which I estimated given its relative distance of roughly one quarter mile from my position to be traveling at between fifty and seventy mph.As it flew, the source appeared to make a small, very smooth deviation from the straight course it had been following when I initially noted it, and in a long lazy arc came to a complete stop in the sky approximately at an angle of sixty degrees above the horizon, wherein it seemed to perform a complete stop and then in a matter of seconds faded away to nothingness (this effect may have been achieved by the source moving away from me on an easterly course, gradually being lost from view, or by some other means).I was able at the time to motion capture approximately fifty-nine seconds of the source objects flight using a Kodak EasyShare C813 8.0 MP camera, which when played back seemed to indicate that it was spinning, and was not entirely orange in color.  Instead, brilliant instances of white and a very brilliant and distinct blue hue were also in evidence.Sadly, due to my initial attempts at sighting the camera on a moving object set against a black sky and under less than ideal circumstances, the initial footage is shaky, but still clear enough for it to be clear enough for analysis.  At the time of the incident, the sky was heavily overcast with broken slow moving clouds.  There was a full moon, and the source appeared to be moving along some distance below the cloud base.  I wish to point out that the route on which the object was seen is part of the regular flight path for aircraft coming into Southampton Airport, yet it was moving counter to the established route and was seen to be carrying lights ((which were not)) consistent with known aircraft.((ADDENDUM FROM WITNESS))Peter,My apologies, that was an obvious and somewhat unfortunate mistake on my part. The date should read, July 31st 2010, not August as you so rightly pointed out.  Also, be advised that a small typo should be amended, it is &quot;yet it was moving counter to the established route and was seen to be carrying lights consistent with known aircraft,&quot; which should read:&quot;...yet it was moving counter to the established route and was seen to be carrying lights which were not consistent with known aircraft.&quot;Thank you.  If you are interested in the footage, it is just under 60 seconds long and in MOV format just under 18MB long. If you know of any reliable means wherein I can send that securely without correuption and at a lower file size, I would be interested in hearing about it.  Thank you for contacting me.  I have an additional comment to add.  I have only just learned from my father who lives at the nearby village of Fair Oak, Hampshire, some seven and one half miles from me that on the night of August 25th, approximately 22:50 hours, he observed two independently operating orange spherical light sources.  In the course of the observation, the objects travelled an undisclosed distance, probably no more than one quarter miles knowing the viewpoint that he had, and from south to northeast.  The sighting was terminated when one of the objects stopped abruptly in mid-flight and shot straight up at considerable speed, followed five seconds later by the second, both subsequently vanishing from sight. I can attempt to obtain additional details, but this is certainly curious given the nature of the object that I personally observed and managed to capture in motion.Thanks.((END ADDENDUM))((NUFORC Note:  All requested corrections have been made in the text above.  PD))}"
20100723,7/23/2010,20100724,7/24/2010, Seattle, WA,WA,USA,West, other,15-25min,15,900,long,"Visually observed and photographed pentagon-shaped/faceted object; light colored/no lights.Tonight just after 9pm I was taking a break from the computer, looking out my window southerly towards the Seattle Center/Space Needle from my lower QAnne apt.  The night sky was clear with a full-moon; a balmy evening with excellent visibility and no clouds.I&rsquo;m on the top-floor of a 4 story building; the object appeared below the elevation of the Space Needle, and appeared to be centered over the Elliott Bay area, due west of downtown Seattle&hellip;.approx. 10-15 degrees west of the Space Needle.I watched it for a few minutes, still not sure what I was seeing.  I thought maybe it was a plastic bag&hellip;caught in a thermal&hellip;but the movement was different:  it appeared to undulate&hellip;.&ldquo;wobble&rdquo;&hellip;..and moving slightly in a slip/sliding motion.The object made no noise, had no navigation lights, didn&rsquo;t move like a conventional man-made aircraft/rotor-craft&hellip;and appeared to have a faceted/angular body style&hellip;.pentagon-shaped, instead of being disc/saucer-like.I grabbed my camera and tripod, and photographed several shots from my apt. window area.  Despite the camera being secure, some of the imagery showed a blur&hellip;indicating that the object was moving; it wasn&rsquo;t camera shake, etc.I then ran over to the top of the Seattle Center parking garage for a better vantage point.  The garage rooftop has an elevation approx. the same as my own apt&rsquo;s, but the object appeared to be lower in the horizon, still appearing to be over the Elliott Bay area, west downtown Seattle.I took an additional 10 or so shots from this vantage point.  The object finally dipped below a tree-line, obscuring my viewpoint and was no longer observable.I returned home, downloaded the digital files for review.  Successive frames showed movement from the object, because of the blurring it induced.  Again, the camera was on a tripod with a timer being used; there wasn&rsquo;t camera shake induced.  2-3 shots are relatively crisp&hellip;and show the pentagon-shaped body; in others it appears to be almost an &ldquo;upside down hat&ldquo;, with more mass below the &ldquo;brim&ldquo;.  The camera I was using, a Nikon Coolpix 8400 only has a limited zoom range, 24-85mm + tele-zoom, but I was still able to reveal a distinctive body shape.   Given the limited optics, and the relative crispness of a few of the images, I felt I could guesstimate the approximate area of it&rsquo;s hover&hellip;which appeared to again, be over Elliott Bay.((NUFORC Note:  Probably not a UFO, we suspect.  The object may be a plastic bag, or some other object which may have been filled with helium.  PD))}"
20100801,8/1/2010,20100801,8/1/2010, Munich,INT,INT,Germany,#N/A, light,30 seconds,30,30,very short,"Germany UFO sightingObject was very light and seen with blue skies and bright sunlight.  I guess the distance was 5 to 8 km above ground.  First I thought it was a plane but th object stopped, made a circle and then turned in another direction with incredible speed.  No sound, just a very bright object.}"
20100801,8/1/2010,20100802,8/2/2010, Sandwich, MA,MA,USA,Northeast, circle,5 minutes (when i arrived,5,300,short,"Twelve UFOs-after two minutes a space craft came and flew to the objects, but one UFO appeared below it and hovered it.As I arrived for my job (a private home health aide) apprx. at 9:05 pm.  I came into the driveway to see a friend who works here and her boyfriend outside gazing at the sky.  They explained that there were starnge objects in the sky. i looked up to see about 12 circular bright orange lights in the sky above the water.  I watched for about a minute, went into the house to get a video camera and as I returned outside the objects were dissapearing in mid air one by one from the right side.  A little after that, we saw an  object that looked like an airplane going toward the cape cod canal from where we are and there were two or three of the unknown objects to the right of the supposed airplane.  But to the left and below the &quot;aircraft&quot; was another unknown orange circular object.  Within two - three minutes the objects dissapeared but the &quot;spacecraft&quot; was still in eye sight.}"
20100704,7/4/2010,20100705,7/5/2010, Omaha, NE,NE,USA,Midwest, circle,10-15 min,10,600,long,"Orange lights over Omaha Nebraska.  Not fireworks!We were on the lake watching fireworks when I noticed a glowing orange object in the sky.  This object moved right to left, then stopped.   After flying for a minute or 2, the flow stopped and the only way I can describe it is a can of chewing tobacco dark in color flying through the sky.  It disappeared behind some clouds.  10 or so minutes later I and my entire family on the boat saw the same thing, but now there were 3 of them.  This time they did not stop glowing orange.  This went on for 5 min.}"
20100703,7/3/2010,20100706,7/6/2010, Lancaster, PA,PA,USA,Northeast, circle,10 min,10,600,long,"Two of my friends and I saw one UFO the night of July 3rd.  We were looking at the stars when I noticed that a &quot;star&quot; was moving. It resembled a star exactly except that it glided through the sky; it was NOT a plane however.  It was white and mildly bright.  It did not twinkle.  My friends and I watched it for approximately ten minutes before it flew south, towards a more light-polluted part of the sky and was no longer visible.((NUFORC Note:  We have corrected the time above.  PD))}"
20100704,7/4/2010,20100706,7/6/2010, Branson, MO,MO,USA,Midwest, fireball,5 min,5,300,short,"fireball over missouri seen july 4th, 2010on the evening of july 4th, 2010 just prior to the local fireworks display, i observed a red-orange object in the skys directly overhead of my location in southwest missiouri,  approximately 3miles from where the fireworks display was to take place.  when first observed i thought the object had a somewhat wedge shape and was a very bright reddish orange color, moving from a south to north direction at a very high rate of speed.  i immediately determined that the object was in fact not conventional aircraft because there were no flashing beacons as are commonly seen on aircraft in US airspace.  i was able to capture an image of the object as i had my camera with me in anticipation of the fireworks display which began approximately 10-15 minutes after the sighting.  when viewed thru the camera perhaps because of the aperature it appeared as a simple round object.  i could only guess the object was perhaps 10 or 20 times the size of a jet liner and as it sped t! o the north it at one point disappeared into the overhead cloud cover briefly.  it moved at a much higher rate of speed than any conventional aircraft and i would guess it took approximately 5 minutes to travel from a direction due south of me until it disappeared from view in the north.}"
20100728,7/28/2010,20100727,7/27/2010, Minneapolis, MN,MN,USA,Midwest, oval,15 mins,15,900,long,"a oval ring of 11 light sources. seen for about 15 mins , taken shots of the sighting}"
20100704,7/4/2010,20100707,7/7/2010, Selma, CA,CA,USA,West, other,10-15 seconds,10,10,very short,"Dim red/orange object slowed then sped up again while maintaining trajectoryMy sighting occurred during an impromptu fireworks display at Lake Selmac near Selma and Cave Junction, Oregon.  I was looking up at the sky watching the fireworks, when I observed a very subtle red/orange shaped object moving from south south west to north north east at a very high rate of speed.  Actually the red/orange colored looked like more like an aura around a dark center.  It was too fast to be a normal satellite but slower than most shooting stars.  It wasn&apos;t bright like other objects in the sky and just barely noticeable.  One would have had to be looking right at it to notice it.  It was one of those cases of just happening to be looking at the right place at the right time.  The odd thing was that at one point it appeared to slow down and then speed up again. It never changed its course though.  The trajectory was very straight.To give you some background on me, I was a police officer for eight years before being medically retired.  What I saw wasn&apos;t a normal satellite like I see in the sky all the time.  It had a straight trajectory like a satellite but the slowing and speeding up part is not characteristic of satellites.}"
20100709,7/9/2010,20100710,7/10/2010, Dorchester, MA,MA,USA,Northeast, sphere,75 seconds,75,75,short,"Drifting, wobbly light moving quickly across the night sky and disappearing three days after 1st sightingThree days after our original sighting, wife and I were again sitting on the porch swing at about the same time when the same bright, wobbly light drifted across the sky.  Too quiet to be an airplane, too low to be a satellite, too fast to be anything I&apos;ve seen before around here.  Moved from northwest to southwest again.  Took more time to move this time.  After passing over our home, it began to dim.  Then it turned red like a glowing ember for just a secon.  Then it dimmed out and totally disappeared.  Stuck around for a long time to see if it would come back. No sign.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  We suspect that both sightings from Dorchester, Massachusetts, submitted by the same person, are of the International Space Station.  PD))}"
20060401,4/1/2006,20100730,7/30/2010, Hanford Nuclear Reservation, WA,WA,USA,West, light,30 minutes,30,1800,very long,"Unusual activity at Hanford Nuclear Reservation,WAOn this evening I was working at Hanford Nuclear Reservation as a Security Officer.  I was a fence line detail and paused for a few minutes to stretch my legs and was watching the flight corridor to SEATAC.  I noticed an airliner coming into view and then noticed a very fast approaching aircraft approaching the corridor from the southeast at about the same altitude.   I at first thought it could have been a private jet just coming into the corridor to line up for approach to SEATAC.  As this situation progressed I figured the fast approaching aircraft would bleed off speed and fall in line. But as I watched I noticed no active beacon or navs and thought it a little weird that this thing would already have his approach lights on.  The craft entered the corridor and at this point continuing his northwest heading at a very high rate of speed and what appeared to be the same altitude and as the situation progressed appeared to be on a collision course with the airli! ner.  As I was watching a pit began to grow in my stomach thinking &ldquo;oh no this might be a bad deal.&rdquo;   The craft continued its heading and it appeared they were going to make physical contact.  The craft narrowly missed the airliner&rsquo;s tail section (I am estimating because of regulation altitude per FAA standards) was about a 1/8th of a mile.  The thought crossed my mind that this may be an intercept mission by the Air Force and was engaging the airliner.  The craft then banked hard left, same rate of speed coming along side then accelerated banking hard left again this time at an impossible angle of attack cutting in front of the airliner then moved to left wing of the airliner then came to an absolute dead stop off the left wing of the airliner.  I watched in amazement as the airliner continued its flight path all the while keeping my eyes locked on the other craft.  Once the airliner was past the other craft dimmed itself to match surrounding stars.  I stood for another 20 minut! es transfixed on the craft. I then began to notice other airli! ners div erting in a northwest arc the first aircraft coming on the scene banking hard right as I believe enroute control diverted them because of the situation.  As this aircraft diverted I tried to keep an eye on the stationary craft.  I waited about 2 minutes then turned to see the location of the airliner which by my estimate was at about the same northwest vector as when the craft  approached the first airliner at.  I then turned to look and the craft lit back up and accelerated at a blinding speed to intercept the diverted airliner.  It impressed me that this craft had a curiosity factor to it and it seemed that it was almost playful in its demeanor.}"
20100713,7/13/2010,20100714,7/14/2010, Paducah, KY,KY,USA,South, circle,10 minutes,10,600,long,"UFO spotted in rural Paducah, Ky neighborhoodThree teenagers were swimming in their backyard when they saw flashing multicolored lights above and through the tree line.The occurrence lasted ten minutes in about 30 second invariables. The lights would get almost blinding and then would go completely dark.  One of the teenagers came in the back door and reported the lights to the parents.  The teenager was at a loss of words as to what they&rsquo;d seen and why the lights wouldn&rsquo;t stop flashing.A brother of the teenager went through the front door to the front yard to see if the lights were coming from the front  yard to the back somehow.  The teenager from the pool continued to explain the lights to the parents as the older brother started back into the house screaming he&rsquo;d seen a UFO.  Neither had heard the others description but both accounts were the same.  They&rsquo;d saw multi colored lights on a circular object with load wind swishing sounds.  They said it wasn&rsquo;t huge; it looked smaller than they would have thought a UFO would be.}"
20100630,6/30/2010,20100701,7/1/2010, Rochester Hill, MI,MI,USA,Midwest, light,15 seconds then 30 minute,15,900,long,"Red light West bound to South then stop.  90 degrees total angle of flightLast night on June 30th in Rochester Hills Michigan, just after 10 pm-10:06 to be exact, from a very white light to the west came a Red Light the went to the South, it was truely red  it went about 90 degrees to almost due south and then stopped for a maybe just under a minute, disappeared and then came back as a white light and stayed and varied in its brightness.  I have a cell phone clip and many witnesses.  Cannnot explain how nor why it did what it did but stayed light for at least 45 minutes,  I am 49 and have never seen anything like this in my life, have a cell phone pic}"
20100628,6/28/2010,20100628,6/28/2010, Houston, TX,TX,USA,South, changing,30 minutes,30,1800,very long,"ufo sighting in houston,texasAround 9:35,a group of us witnessed a ufo in the sky,at altitude,in the west.  It appeared to be at about 3500 feet altitude, and was a very bright bluish-white light,changing occassionally to a flashing orange,then back to bluish white.It was not moving,but hovering,for most of the time we were watching it.  There appeared to be beams emitting from the craft every three minutes or so.  It appeared spherical at first,orb-shaped,but then would morph into a diamond shape,and the bluish-white light would pulsate.It changed from spherical to diamond shaped about four times during this period.  Finally,it gained altitude and moved south,towards the coast.this was seen by myself and many others.}"
20100701,7/1/2010,20100702,7/2/2010, Ridgecrest, CA,CA,USA,West, circle,1 1/2 hours,1,3600,very long,"Light flashes, dark grey &quot;satellite&quot;, periwinkle blue and white &quot;satellite&quot;It was a busy night star gazing as I saw numerous unusual sky phenomena between Scorpio and Corona Borealis.  All this took place between 9 p.m. and 10:30 p.m. local time.Around 9 p.m. I went out for my evening star gazing and watching the satellites go by.At the start I saw what I can only describe as flashes of light in the sky.  The flashes of light looked like a flash from a camera.  Then I observed what I thought was a satellite until the satellite went from moving from a northern to southern direction to veering to a southwesterly direction.  Satellites do not normally change their directional course as they cannot.  They always move in the same direction without veering off course.  This satellite seemed to be dark gray in color and was silhouetted against the night sky. I saw this with my naked eye.Then I saw the similar flashes of light again.  After this I saw another &quot;satellite&quot; that was moving across the sky.  This time the satellite stopped, then let off a &quot;pouf&quot; of periwinkle to white color, then moved again.  I observed through binocs what seemed to be a lighted object with periwinkle and white lights.  This satellite then moved and faded away.  Approximately a half hour later this same satellite reappeared towards the southwest portion of the sky and repeated the same set of movements and colorations before fading out.I saw the flashes of light each time before the bluish white satellite reappeared.This was also seen by another witness who was with me.  This witness would like to remain anonymous.I checked Heavens Above and could find nothing that might fit what we saw.  Perhaps you can find something.None of this stuff was close. It was all probably just inside the earth&apos;s atmosphere at a good guess.}"
20100704,7/4/2010,20100709,7/9/2010, Danbury, CT,CT,USA,Northeast, teardrop,25 Seconds,25,25,very short,"triangular/teardrop shaped orange light with a slight flicker to it rocketing across the sky with no soundAt approximately 9:35 PM Sunday July 4th, Danbury, CT (nearest cross street Belair Drive and Kingswood) I saw what appeared to be an orange teardrop/triangular shaped flame (not a perfect triangle but more triangular than a teardrop) arching overhead.  I first noticed it at 35 degrees WNW from my location.  It continued up overhead to about 85 degrees (almost directly overhead) and gradually faded out of view as it got smaller and smaller ESE at about 10 degrees above the horizon.  It took about 25 seconds to move this distance.  I did not hear a sound coming from this object so I would say that it was above the Earth&rsquo;s atmosphere but not as high as the International Space Station (ISS) as I&rsquo;ve spotted that a few times on separate occasions and on one occasion I saw the station also pass almost directly overhead like this object.  I cannot be certain how high the object was but that is my impression.The object appeared to be a flame although it was different from a typical rocket in that although it remained relatively constant it had a slight flicker to it like the flickering of a candle only a more rapid flickering with more of a sustained luminescence.  The flame appeared to have an edge on the forward side and came to a point at a length of about twice its width.  I could not discern a physical object in front of the flame as I was looking for something in front thinking it was perhaps a missile or the space shuttle.  The light of the object was about half as bright as the ISS at its brightest when I had seen the ISS at about a year ago passing directly overhead.I saw only the one object and it&rsquo;s motion was continual and followed a straight path and it was moving at least twice as fast as the ISS (or perhaps the same speed but maybe half the distance?).  This object literally appeared to be rocketing across the sky.  It&rsquo;s size from my perspective was about 1/8th the size of a full moon as it passed overhead.  There were 4-5 other witnesses across the street about a 100 feet away from me.}"
20100710,7/10/2010,20100711,7/11/2010, New Baltimore, MI,MI,USA,Midwest, fireball,7 minutes,7,420,long,"fireball flying in the sky with visible flames.Bright flaming fireball moving horizontally at small planes speed.No sounds, fireball visible for 5 to 7 minutes.  Did not change colors.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))}"
20090915,9/15/2009,20100714,7/14/2010, Auckland,INT,INT,New Zealand,#N/A, circle,10 seconds,10,10,very short,1 ball shaped red craft moving at fast speed from oriens belt top star to the bottom it was scary i chilling night and a chilling secene me and my dad were shocked at how fast it was and how bright flamed it was}
